commit	val_bpb	memory_gb	status	description
b1bd2ed	1.821129	44.0	baseline	baseline (no edits)
232198b	1.666954	26.5	keep	reduce depth from 8 to 6 to increase training steps within the time budget
eb039cf	1.411958	26.4	keep	reduce TOTAL_BATCH_SIZE from 2**19 to 2**18 to increase the number of optimizer updates
457d85d	1.404714	26.4	keep	change window pattern from "SSSL" to "L" to use full context in all layers
457d85d	1.410019	26.4	discard	increase MATRIX_LR from 0.04 to 0.06 to accelerate convergence
ab558bf	1.386496	26.4	keep	reduce WARMDOWN_RATIO from 0.5 to 0.3 to train at peak LR for longer
46be7bf	1.371277	18.9	keep	reduce ASPECT_RATIO from 64 to 40 to decrease model width and increase training throughput
46be7bf	1.375046	18.9	discard	reduce weight decay from 0.2 to 0.1 to reduce regularization strength
f309d95	1.272327	9.5	keep	reduce total batch size and device batch size to increase the number of optimizer updates
f309d95	1.292655	9.6	discard	reduce HEAD_DIM from 128 to 64 to increase the number of attention heads for the same model width
f309d95	1.289185	9.5	discard	change MLP activation from squared ReLU to SiLU (Swish) for better gradient flow
0bc3c90	1.269497	7.1	keep	reduce depth from 6 to 4 to increase training steps
ab53f4e	1.265202	7.1	keep	introduce a small warmup ratio of 0.05 to improve stability
41c23f5	1.246888	3.6	keep	reduce TOTAL_BATCH_SIZE and DEVICE_BATCH_SIZE to increase the number of optimizer updates
2eac1c6	1.245926	3.6	keep	increase MATRIX_LR from 0.04 to 0.05 to accelerate convergence
2eac1c6	1.316883	2.3	discard	reduce ASPECT_RATIO from 40 to 32 to further decrease model width and increase training throughput
2eac1c6	1.246499	1.9	discard	reduce TOTAL_BATCH_SIZE and DEVICE_BATCH_SIZE further to increase the number of optimizer updates
2eac1c6	1.246752	3.6	discard	increase EMBEDDING_LR from 0.6 to 0.8
8e37598	1.243601	3.6	keep	increase unembedding learning rate from 0.004 to 0.01
8e37598	1.247290	3.6	discard	reduce WARMDOWN_RATIO from 0.3 to 0.2 to keep the learning rate at its peak for a longer duration
8e37598	1.322823	2.0	discard	reduce depth from 4 to 3 to increase training steps within the time budget
8e37598	1.244661	3.6	discard	increase beta1 in ADAM_BETAS from 0.8 to 0.9 for better momentum stability
8e37598	1.250226	3.6	discard	increase unembedding learning rate from 0.01 to 0.02 to follow up on previous improvement
